"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.02101295007486281
2 0.03345640721887119
3 0.03971246431073431
4 0.04436822449949172
5 0.04828179037074401
6 0.05153654205600584
7 0.05412447462606155
8 0.05621282691404102
9 0.05775656843495176
10 0.05879479696984204
11 0.0595062509438118
12 0.06002682365773125
13 0.06039424653139615
14 0.06065412717788458
15 0.06086535894867354
16 0.06095549250931394
17 0.06108710207475173
18 0.06125665362880715
19 0.06144194711953414
20 0.06165905451255378
21 0.0618996593171156
22 0.06216020080440503
23 0.06241169100141557
24 0.06265297611752571
25 0.0628850076972722
26 0.06310128313446883
27 0.06329283392671042
28 0.06346266687246896
29 0.06360427058071182
30 0.06372836100053607
31 0.06382585963488367
32 0.06390884083298028
33 0.06397191983437618
34 0.06402421600986351
35 0.06406289994522976
36 0.06409418231636327
37 0.06411657484905814
38 0.0641349652617788
39 0.06414802884961027
40 0.06415916322501182
41 0.06416731724412104
42 0.06417450030392848
43 0.06417992910200968
44 0.06418469414566998
45 0.06418801318032458
46 0.06419087487291533
47 0.0641929652450732
48 0.06419469880162923
49 0.06419588903376992
50 0.06419694563938336
51 0.06419772795370929
52 0.06419851846322779
53 0.06419914265672792
54 0.0641996378692489
55 0.06419996726576079
56 0.06420027616108225
57 0.06420044102263291
58 0.06420084447116217
59 0.06420092859832099
60 0.06420109678701602
61 0.06420122172544074
62 0.06420135070108431
63 0.06420142314036556
64 0.06420140702556838
65 0.06420134649376483
66 0.06420134859934915
67 0.06420126098835723
68 0.06420124377394537
69 0.06420103366017257
70 0.06420101445702189
71 0.06420096308957313
72 0.06420092459371493
73 0.06420083028802732
74 0.06420074962123647
75 0.0642006926713718
76 0.06420061146290414
77 0.06420056845606738
78 0.06420056105720541
79 0.0642005598168786
80 0.06420062027447987
81 0.06420069914603704
82 0.06420076632330417
83 0.06420073246091021
84 0.06420071413376455
85 0.06420073088371489
86 0.06420075606390385
87 0.06420076677051184
88 0.06420078590443884
89 0.06420077897339137
90 0.06420077225555787
91 0.06420076369299058
92 0.06420069320605469
93 0.06420057261603293
94 0.06420051296847766
95 0.06420039670149802
96 0.0642002093550896
97 0.06420005905619568
98 0.0641999862506176
99 0.06419994576590837
100 0.06419994926907176
